name,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
All I Want for Christmas Is You,7nQrUXVzVeYb0hAuabfmaP,0.335,0.625,-7.462,0.0386,0.164,150.277,0.0708,0.346
Last Christmas,0QPYn15U8IQHKcH2LDfrek,0.735,0.645,-8.147,0.0273,0.277,106.753,0.458,0.881
I'll Be Home,4ZWiQrSCsoZZsHm7GCYxv1,0.556,0.361,-7.761,0.0257,0.307,84.787,0.102,0.292
Santa Claus Is Coming To Town,4BEvFV4Czm4D4TwBGdhSqK,0.698,0.688,-6.66,0.0355,0.305,146.714,0.142,0.931
Feliz Navidad,0UORDNH9ZneYlamDQB7guH,0.514,0.83,-8.666,0.0391,0.548,148.806,0.321,0.964
It's the Most Wonderful Time of the Year,4DQ920CEDAOzyxeWxoidkN,0.194,0.599,-6.897,0.0368,0.727,202.059,0.194,0.724
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),1tW8pBxbcqYpwnNPvjx641,0.639,0.345,-9.618,0.0639,0.915,142.182,0.334,0.818
Merry Christmas Everyone,7brBzTFzUzxwKNXbyS5sN2,0.758,0.753,-9.236,0.0272,0.16,101.724,0.178,0.949
Have Yourself A Merry Little Christmas,7Hz6LLOVxrojLPIHJJ1S0E,0.426,0.177,-9.429,0.0436,0.954,133.483,0.317,0.317
Santa Baby,1O0cpPNZcakbNQRmdLZ1E3,0.687,0.138,-13.208,0.0557,0.912,85.963,0.116,0.373
Sleigh Ride,1zOnUH1tBBLYREt1hgzvgf,0.528,0.772,-7.013,0.0288,0.403,91.735,0.316,0.852
Shake up Christmas - Xmas Anthem,5EXO1XAD9hGl71ReHr7xc6,0.469,0.813,-2.962,0.0535,0.00256,80.999,0.361,0.583
White Christmas (with Shy'm),54fvgxr5WYXNsnmKwMc7S1,0.609,0.514,-7.589,0.0355,0.465,63.44,0.118,0.594
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),1trEoMePpSe54vAuW4KQrv,0.728,0.316,-10.434,0.0501,0.767,112.909,0.146,0.719
Rudolph the Red Nosed Reindeer,7vWDMb5giUHbpadinbmJuS,0.77,0.349,-12.486,0.0357,0.672,89.22,0.137,0.858
Jingle Bell Rock,2jpyFX9sTNmrAmr3iMw553,0.757,0.417,-8.495,0.035,0.656,119.696,0.0654,0.806
Do They Know It's Christmas?,3Sg8lUOh9Zt7XBrCenqGCs,0.678,0.693,-5.274,0.0344,0.38,120.055,0.0919,0.651
All Alone on Christmas,4eQvrHRAG4WoGYFNe3pCLu,0.61,0.852,-8.368,0.0335,0.0192,122.232,0.295,0.784
Christmas Lights,4fzyvSu73BhGvi96p2zwjL,0.312,0.418,-9.146,0.0296,0.131,130.795,0.0836,0.237
It's Beginning to Look a Lot like Christmas,5a1iz510sv2W9Dt1MvFd5R,0.339,0.214,-11.714,0.0375,0.908,94.775,0.341,0.363
Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,-7.364,0.116,0.0489,191.9,0.294,0.591
Santa Baby,6IlSF6Y2fCqM9DJoDe5VHB,0.716,0.783,-5.744,0.222,0.0535,95.992,0.304,0.779
Snow In California,6BqE2EzcqW6sNYf7SeGfuN,0.647,0.544,-5.947,0.0446,0.256,134.922,0.346,0.472
Holly Jolly Christmas,6tjituizSxwSmBB5vtgHZE,0.647,0.465,-8.308,0.0428,0.865,151.251,0.0882,0.699
Winter Wonderland,0vJnAIhLnRrXgtN0SmrrTy,0.672,0.492,-7.612,0.0399,0.754,117.934,0.185,0.442
Santa Claus Is Comin' to Town,7l0asn24bdO7MB9tqucIdt,0.636,0.319,-5.971,0.0501,0.927,141.17,0.187,0.547
White Christmas,1AobZQMod1zw1hV0MedNrN,0.331,0.323,-8.178,0.0275,0.958,96.821,0.299,0.204
It's Beginning to Look a Lot Like Christmas,2osywe1cJ8mwmAYa25wN7X,0.638,0.291,-17.458,0.0516,0.819,110.579,0.242,0.488
We Wish You a Merry Christmas / End Title - Voice,0PZkbFCUchXl4WQrjV4kGM,0.239,0.186,-18.987,0.0359,0.959,147.667,0.102,0.291
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"") - Voice",6lIyXleBCaWzOn9Ltjg6E5,0.15,0.0577,-21.255,0.0362,0.969,71.564,0.0873,0.0701
Cold December Night,4FPrAERfkPKOBKrRoyuxLu,0.517,0.702,-6.763,0.0247,0.00722,83.873,0.0896,0.414
"Baby, It's Cold Outside (with Dorothy Kirsten)",3wvG6oGSZ6c7oskNDsI1CY,0.594,0.239,-12.401,0.131,0.963,127.892,0.706,0.703
