name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
For the Love of Money,Ship Ahoy (Expanded Edition),The O'Jays,3p1JoOEhVkEnTaa4JzTMSk,1973,55,439866,0.679,0.236,0.802,2.33e-06,0.132,0.894,-7.739,0.0406,97.375,0,4,happy
"Fastlove, Pt. 1",Older,George Michael,6SaeXxdt0Id6ZzmX0ZGTQK,1996-05-13,66,324666,0.735,0.052,0.64,0.00102,0.345,0.551,-7.522,0.072,104.444,10,4,happy
I Wish,Emotional,Carl Thomas,3lqT89gv8p3PYwXtr3ODjv,2000-04-18,55,226760,0.736,0.0593,0.666,3.82e-05,0.107,0.224,-4.929,0.0337,89.824,1,4,happy
Ascension (Don't Ever Wonder),Maxwell's Urban Hang Suite,Maxwell,6l4TNbfPtNAOOlGIfceSaO,1996-04-02,66,346133,0.753,0.0805,0.471,0.0299,0.131,0.778,-10.48,0.0317,96.038,0,4,happy
Paris,Paris,Lord Siva,1NgeW6kFhdqAvEKgKYhf1s,2019-02-22,57,170644,0.818,0.151,0.533,6.66e-06,0.133,0.774,-6.05,0.0428,114.97,6,4,happy
Bay,Fake ID Heartbreak,Julias Moon,4XJ7cqtj8wJNFkOh2tVOLB,2014-11-04,40,167440,0.675,0.199,0.388,0,0.346,0.6,-7.194,0.0342,93.008,5,4,happy
Bad News,Bad News,Aaron Frazer,4z2Nybp5SG6spJoe3yC5k3,2020-09-17,53,228613,0.558,0.225,0.572,0.0756,0.069,0.948,-7.43,0.0562,185.575,9,4,happy
Beyond,Good Thing,Leon Bridges,1Omt5bfz1tZUCqd26HxbS0,2018-05-04,74,240600,0.58,0.229,0.687,0,0.109,0.187,-5.4,0.106,76.014,6,4,happy
911 (feat. Mary J. Blige),The Ecleftic -2 Sides II A Book,Wyclef Jean,1Ov4E4nE7E0yzeqpbhEE5g,2000-05-01,57,259346,0.72,0.243,0.666,5.79e-06,0.0872,0.707,-9.162,0.227,87.024,7,4,happy
Say It Right,Loose (International Version),Nelly Furtado,2aI21FnmY7TJVKeMaoQZ0t,2006-01-01,73,223080,0.872,0.0476,0.872,0.00112,0.0543,0.809,-6.328,0.139,116.948,1,4,happy
Burn,Confessions (Expanded Edition),Usher,7z3N2W7Xz1t2G2sAO8wFVH,2004-03-23,71,231933,0.796,0.314,0.477,0,0.12,0.685,-7.161,0.108,119.928,1,4,happy
Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,3XKIUb7HzIF1Vu9usunMzc,1999-06-15,69,261973,0.777,0.0406,0.601,0.00201,0.0348,0.68,-5.931,0.126,97.911,2,4,happy
Diggin' On You,Crazysexycool,TLC,2W2vmNmTLERMWT9XBxm35E,1994-11-15,57,254560,0.719,0.0235,0.631,0.702,0.0686,0.456,-7.411,0.0451,80.127,6,4,happy
You're Makin' Me High,Secrets,Toni Braxton,5bJ796cOnGBzSN5bm4mwMj,1996-04-24,60,267440,0.852,0.0117,0.563,1.96e-05,0.119,0.893,-8.663,0.0377,92.112,10,4,happy
The Million Dollar Song,The Million Dollar Song,Calby,19ipHROLvBiPdGsWm4SMB2,2020-04-03,45,194294,0.674,0.128,0.528,0.00197,0.0991,0.506,-7.801,0.0343,96.269,7,4,happy
Cheers for the Tears,Cheers for the Tears,Soleima,1luf18dR160FyYqTnIAXfE,2019-08-09,57,174733,0.648,0.0676,0.482,1.56e-05,0.76,0.559,-6.514,0.0643,76.044,9,4,happy
Boys Don't Cry,Boys Don't Cry,Elias Boussnina,3LgPy7zNzoSl2VKjx1o0Pp,2019-11-01,52,202560,0.665,0.0846,0.456,5.91e-05,0.308,0.445,-8.267,0.199,86.04,5,4,happy
Hell N Back,Hell N Back,Bakar,3NRql0A1Ef4RCvT473iqgD,2019-08-15,77,213573,0.584,0.312,0.684,9.05e-05,0.112,0.72,-4.314,0.567,210.164,10,4,happy
He Loves Me,He Loves Me,Brittany Howard,43WBVIITW6l5Tke3dtdmB4,2019-08-14,40,151693,0.623,0.435,0.706,1.87e-05,0.141,0.499,-7.515,0.24,70.949,11,4,happy
You Ain't The Problem,You Ain't The Problem,Michael Kiwanuka,0QDe6nlExlt3AM1NHTh4nn,2019-08-13,54,249333,0.643,0.188,0.773,0.000412,0.0986,0.653,-7.998,0.0414,124.538,1,4,happy
No Pressure,No Pressure,Mahalia,5Sr3ppJ2yQEHPTjKPHbKuU,2017-12-01,54,196484,0.476,0.653,0.546,9.02e-06,0.0895,0.646,-7.137,0.252,74.212,7,4,happy
Playing For You,Playing For You,Joe Hertz,3DmMNjjYb4xedWBXAN6IUM,2016-08-16,55,258895,0.53,0.0558,0.593,8.33e-06,0.0962,0.363,-8.198,0.144,85.031,11,4,happy
Gonna Love Me,K.T.S.E.,Teyana Taylor,3nXrCAE44KlevAkQB2XWcN,2018-06-23,71,166997,0.514,0.402,0.506,2.56e-05,0.191,0.312,-7.095,0.28,88.044,10,4,happy
Doing Better,(04:30) Idler,Jamie Isaac,3H6M6wJCSKGHtMqiAWl6QL,2018-06-01,0,214973,0.442,0.114,0.47,0.000782,0.114,0.424,-8.863,0.13,63.553,8,4,happy
Toothache,Toothache/Zoom,Topaz Jones,0VTfnZjTjFdnqYnLDLnIxy,2018-02-09,2,223278,0.809,0.12,0.743,0,0.122,0.83,-4.049,0.109,122.062,0,4,happy
Focus,H.E.R. Volume 1,H.E.R.,6KluBT5Zthyzk6sBwqAcso,2016-09-09,61,200194,0.597,0.255,0.291,1.9e-05,0.108,0.09,-13.483,0.0576,87.082,1,4,happy
M.P.B.,Conscience,Womack & Womack,0w4QlIOtXEJEPvftQo9VSe,1988-06-13,55,238066,0.805,0.0998,0.406,0.00312,0.0851,0.961,-14.551,0.0451,99.355,1,4,happy
To Each His Own,Now,Patrice Rushen,7IJSkHRCWMSzdhmjfBlK5H,1984,53,254400,0.906,0.361,0.379,0.000109,0.0799,0.714,-10.103,0.143,106.566,5,4,happy
Jeri Curl,Jeri Curl,Cam O'bi,6452rfXGmvPslUbp9NX7Cw,2018-01-20,49,199964,0.938,0.249,0.405,1.09e-06,0.147,0.493,-10.509,0.354,105.932,5,4,happy
Conexão,Conexão - EP,Amber Mark,4vvFklYoPTicMqbYUo7qyG,2018-05-04,56,299131,0.855,0.0216,0.659,0.156,0.075,0.286,-6.451,0.0642,130.967,0,4,happy
Starlight Groove,Midnight Crisis,Lex One,5RPUpFwaH93p5o0Vxujxv9,2018-02-19,50,230907,0.753,0.528,0.706,9.15e-05,0.167,0.716,-8.258,0.082,141.411,0,4,happy
So Bad,Duñe x Crayon,Duñe,2czhrDhRNZVSslq8KC1mKm,2016-03-25,46,188411,0.601,0.52,0.326,0.00813,0.0994,0.206,-8.414,0.38,101.354,10,4,happy
The Sweetest Meditation,Harmonies,Lord Echo,1QVF9JOvsO9koQhq1XQTzy,2017-04-07,59,354213,0.775,0.198,0.805,0.111,0.0912,0.717,-8.594,0.0518,114.886,11,4,happy
Questions,The Midnight Hour,The Midnight Hour,6dLpEd8yvQmLgVFXnDf0Kn,2018-06-08,0,207293,0.636,0.033,0.554,0.0262,0.155,0.256,-8.799,0.043,89.063,2,4,happy
Closer,Live from the Artists Den: Season 2,Various Artists,6XaV2S7rtFLMw2YBXcIhvv,2010-06-01,54,268853,0.625,0.73,0.467,0,0.105,0.75,-9.833,0.144,143.32,5,4,happy
February 3rd,Lost & Found,Jorja Smith,00uaBUnmyGxBUSwG37sWHx,2018-06-08,0,242035,0.581,0.452,0.466,0.000922,0.131,0.272,-8.839,0.0379,84.636,2,4,happy
Calm Down,Outside,Burna Boy,56XIgOY2j7nL5xUtuKXACL,2018-01-26,57,265641,0.636,0.503,0.549,1.16e-06,0.16,0.588,-7.495,0.0532,167.874,1,4,happy
Smoke with Me,The Story so Far...,Children of Zeus,3S9IEker4dKmMRJyLLdSUZ,2017-10-06,52,187619,0.784,0.0945,0.326,7.38e-05,0.0795,0.599,-11.707,0.416,81.98,7,4,happy
Soulmate (Heartstrings),Love In Synthesis,MMYYKK,7tC8VI0VlMv4ZyNssmKpJG,2016-07-28,52,208000,0.712,0.368,0.394,0.0251,0.178,0.524,-7.591,0.261,119.866,0,4,happy
Claustrophobic,Claustrophobic,PJ Morton,14l9sBVb9bI8m65mtV9auv,2015-04-21,49,187993,0.738,0.173,0.336,0.00183,0.0827,0.566,-11.309,0.199,77.008,5,4,happy
Ngempela,Ngempela,Sjava,0qsZe05lIq8zpmSR20Bafi,2017-02-24,53,227738,0.446,0.508,0.507,0,0.114,0.548,-8.882,0.202,63.571,7,5,happy
Petit Prince Du Macadam,Umami,Folamour,3cCLvbMCHMgX7DLXPr1ALv,2017-11-10,59,184938,0.655,0.082,0.794,0.0791,0.0457,0.667,-5.872,0.25,187.007,10,4,happy
Little Bit of Lovin,Say Less,Roy Woods,5l5wRXA7asTNjh3V0oNGPs,2017-12-01,53,172874,0.784,0.0126,0.653,2.48e-06,0.317,0.348,-6.022,0.0365,108.064,1,4,happy
Soldier In The City,Lift Your Spirit,Aloe Blacc,6FvunSnUTm1sxno4tJnSTw,2013-01-01,46,205733,0.642,0.0396,0.669,0,0.218,0.507,-7.024,0.0902,105.979,10,4,happy
Valerie - BBC Radio 1 Live Lounge,AMY (Original Motion Picture Soundtrack),Amy Winehouse,1879aiUSpb1qNoiwtQA2XH,2015-10-30,0,232120,0.761,0.762,0.316,2.14e-06,0.185,0.674,-8.069,0.0376,96.007,5,4,happy
Tints (feat. Kendrick Lamar),Tints (feat. Kendrick Lamar),Anderson .Paak,1gnwGVoG7V08vMX3hyr90x,2018-10-04,59,268400,0.805,0.0859,0.833,0,0.0578,0.703,-6.73,0.12,109.076,1,4,happy
